Size,Parameter,Mean,Std,Median,Min,Max
200,1,0.3336097466699378,0.2675761588923562,0.33870513581587336,-0.44612594889032037,0.9661697014236548
200,2,0.11316314457705796,0.25884675883576713,0.11053218730096498,-0.6691131628827756,0.9245553518490988
200,3,0.48666203187745194,0.08851073893810209,0.49028299310696627,0.24109458491688485,0.7575357236584043
200,4,0.4513174883764613,0.42502619033803213,0.444680387062225,-0.8482833544296408,1.843477537655248
200,5,0.7113429136713667,0.339811753284698,0.6651247278375363,0.034975775153692684,1.7255232720707472
200,6,0.19007810772020178,0.3170282765854088,0.21966440691977795,-0.8118231908374337,1.124206766044259
200,7,-0.04691945999085823,0.4315428603521114,-0.058167328373582655,-1.4803515948382426,1.1122247240809207
200,8,0.18410272902718625,0.07958451003558042,0.18269559315020226,-0.001016931308378377,0.4705359177379381
500,1,0.2976644324208375,0.16818389035864204,0.2998244651767856,-0.13649472886348146,0.6734186991842394
500,2,0.15979281779037682,0.17851235040238617,0.15454497103146553,-0.44627259751781856,0.6645729438079029
500,3,0.49771288864225555,0.05308037280530498,0.49705160934932335,0.3535124940370203,0.6378658656715281
500,4,0.37260632230544266,0.28974798143101527,0.39538528107746496,-0.4836858250876533,1.101378632073005
500,5,0.6081722022821271,0.20819688548043996,0.5868553273368615,0.1392201364489961,1.4648087187084406
500,6,0.2923732009377455,0.22813937327501302,0.31749115646069004,-0.4778187405732675,0.929747670909923
500,7,0.028841110258447947,0.30515278882720465,0.008397269352386633,-0.767816088204084,1.1162114033096793
500,8,0.19956952766369057,0.05088599523938825,0.19630086260742513,0.05821861488562763,0.3514141823237552
1000,1,0.3144058990443548,0.12659023561523938,0.3295666273266632,-0.06699499699406905,0.6254567930799318
1000,2,0.18069314348291785,0.13226165048961142,0.17158552324973417,-0.18654103614928164,0.6573519297494385
1000,3,0.4976982259925941,0.03757029170581971,0.4966890617816051,0.3441392888220791,0.6204606295307431
1000,4,0.3510329260274416,0.2076112293011857,0.3538838736337756,-0.35945500051550977,1.1482883464522462
1000,5,0.5672973905391979,0.1459354088150234,0.5445285143269804,0.2797691515856599,0.9643404378973888
1000,6,0.339279674356144,0.15565701174887744,0.3572814565914842,-0.08614495861854751,0.7499433854258643
1000,7,0.04637300825314401,0.2166283556949347,0.05393521423112426,-0.6608475131551048,0.7544201856402533
1000,8,0.19411269183160307,0.03664659176467103,0.19360305668759403,0.11404385470369482,0.31625139760487564
