Parameter,Mean,Median,Std,Min,Max,Real Value,MADE,MSE,Size
Parameter 1,0.3637719313254887,0.3573713494899956,0.2717023681883728,-0.4541726826215667,1.187977752475498,0.3,0.2135033991046875,0.077889036104153,200
Parameter 2,0.1761466508816693,0.1688829335496102,0.1644151878194358,-0.5940936676449567,0.5850329827357621,0.2,0.12923346656332,0.0276013362498613,200
Parameter 3,0.4654471928912261,0.4714289175495051,0.1038446543923505,0.1874258111654947,0.7933984944655968,0.5,0.0882793149723468,0.0119776087249628,200
Parameter 4,0.6637027079475979,0.6381790955617945,0.2806834911117226,-0.0320177938779539,1.6157046499396372,0.5,0.2536929282304897,0.1055817987720409,200
Parameter 5,0.3098792228965029,0.3282243809086373,0.1795453358443888,-0.388285170690716,0.7338722040129039,0.4,0.1533138753190612,0.0403582820892125,200
Parameter 6,0.2941666440214801,0.295187059968603,0.07896015299859,0.0896248397632161,0.4792566072652421,0.3,0.0638989754032301,0.0062687338035328,200
Parameter 1,0.3231082287393931,0.3312788128082589,0.1456791988718321,-0.0851312834366096,0.7487778045712923,0.3,0.1174635088351585,0.0217564192194109,500
Parameter 2,0.1816539109761723,0.1745668276002679,0.100075993726333,-0.2647015637524987,0.4716301222349999,0.2,0.0790815923849503,0.0103517835027832,500
Parameter 3,0.4853604087946416,0.4885501135240551,0.0605250411968481,0.327941890022037,0.6539305432309565,0.5,0.0501574271397026,0.0038775982425401,500
Parameter 4,0.5669014525828088,0.5639271682582171,0.1702730157533516,0.1379846603757897,1.054730676274977,0.5,0.1471037286515444,0.0334687042514309,500
Parameter 5,0.3662473607371498,0.3570449187539153,0.1183575184535984,0.0411472437915291,0.7080120216446621,0.4,0.1002229804683628,0.0151477428317019,500
Parameter 6,0.2903225073330521,0.2879091404724082,0.0527230424512568,0.140343757804963,0.4284138604843163,0.3,0.0440667340071934,0.0028733730696358,500
Parameter 1,0.3172875496056644,0.3059756212669872,0.1037110448623878,0.0219407018781515,0.625708551812582,0.3,0.081440128287625,0.0110548401978165,1000
Parameter 2,0.1918507433100726,0.1903585601118783,0.0710296253385939,-0.0004592317311792,0.3658424206194799,0.2,0.0580012601504764,0.0051116180603393,1000
Parameter 3,0.4969085485524472,0.493654150798142,0.0443831850141042,0.3745449286750411,0.6134004679435829,0.5,0.0359550040298644,0.0019794241840487,1000
Parameter 4,0.5407035568393006,0.537646927260939,0.1123689739211926,0.2443047482095138,0.949075141870414,0.5,0.0920447098592095,0.0142835658394718,1000
Parameter 5,0.3771522764514122,0.3751484804944327,0.0836456162802603,0.1325789513792971,0.6044647491422854,0.4,0.0683019436771013,0.0075186075942572,1000
Parameter 6,0.2988646117503378,0.2967393552503264,0.0362689256869517,0.1814693737329803,0.4159996373038342,0.3,0.0284297661720798,0.001316724076963,1000
