Parameter,Mean,Median,Std,Min,Max
Parameter 1,1.903186800000002,1.9958,0.2455723335104345,1.1745,2.0
Parameter 2,0.5410929000000002,0.55626,0.0550508489652066,0.34874,0.74861
Parameter 3,0.1022629875999999,0.073741,0.0863918467945468,0.0019211,0.42795
Parameter 4,0.4688374400000011,0.46527,0.0359702034279263,0.01499,0.63725
Parameter 5,0.5800513898000007,0.65847,0.2072329517628375,0.0057161,0.66314
Parameter 6,0.2977610163999996,0.33821,0.1076667757236306,0.0029975,0.44629
Parameter 7,0.0546148239999999,0.0338225,0.0553156916324927,0.033785,0.21657
Parameter 8,0.0667530859999999,0.065872,0.0035176545991049,0.035568,0.085953
Parameter 9,1.8000568000000008,1.7795,0.0750781681566619,1.6517,1.9977
