Parameter,Mean,Median,Std,Min,Max,Real Value,Size
Parameter 1,0.3170972274160002,0.29286,0.1310715661994954,1.7708e-05,0.80769,0.3,200
Parameter 2,0.192146618718442,0.183875,0.1154360825153288,2.6607e-08,0.53665,0.2,200
Parameter 3,0.48966236,0.4868,0.0811591156631859,0.22058,0.69167,0.5,200
Parameter 4,0.1018798962136759,0.103585,0.0529699994741916,1.7219e-08,0.27113,0.1,200
Parameter 5,0.4873459199999995,0.470255,0.1611133823198856,0.12874,1.0,0.5,200
Parameter 6,0.4190825231031995,0.428985,0.1246007447369046,4.5516e-06,0.79921,0.4,200
Parameter 7,0.30522988,0.30334,0.0740061670942739,0.11007,0.56754,0.3,200
Parameter 8,0.179235486901584,0.17955,0.0733082796434787,1.5792e-08,0.37446,0.2,200
Parameter 9,0.502129198,0.6820250000000001,0.5346718107421883,-1.0,1.0,0.7,200
Parameter 1,0.3112718200000001,0.302825,0.0796026848698434,0.12426,0.64284,0.3,500
Parameter 2,0.1964414725292801,0.19495,0.0758988855204655,2.7907e-08,0.40654,0.2,500
Parameter 3,0.4916479599999999,0.489295,0.0473417292696242,0.3383,0.62882,0.5,500
Parameter 4,0.1009974559999998,0.10253,0.0337682953791876,0.010992,0.21265,0.1,500
Parameter 5,0.49360792,0.48429,0.1127087559902672,0.22662,0.85998,0.5,500
Parameter 6,0.4049428199999998,0.40708,0.0800547892723951,0.14553,0.63431,0.4,500
Parameter 7,0.3023301200000002,0.299905,0.0447119298128094,0.18532,0.49181,0.3,500
Parameter 8,0.195238376,0.196635,0.0447322215173204,0.062698,0.35647,0.2,500
Parameter 9,0.5843204389999995,0.653385,0.3618295352322244,-0.65662,1.0,0.7,500
Parameter 1,0.30875394,0.30515,0.0553698234011668,0.17198,0.50976,0.3,1000
Parameter 2,0.1932472360000001,0.189905,0.0551690850201116,0.043779,0.35816,0.2,1000
Parameter 3,0.4989073399999994,0.499015,0.0354180546095406,0.38405,0.59763,0.5,1000
Parameter 4,0.1008024059999999,0.1019299999999999,0.0234148429642644,0.044219,0.1838,0.1,1000
Parameter 5,0.5057777400000001,0.49876,0.081414384888006,0.3191,0.79723,0.5,1000
Parameter 6,0.4007072999999995,0.404545,0.0566577745919304,0.22409,0.54475,0.4,1000
Parameter 7,0.30103132,0.301235,0.0343496049796442,0.19883,0.41311,0.3,1000
Parameter 8,0.1967567199999998,0.195415,0.031044100734948,0.10889,0.28648,0.2,1000
Parameter 9,0.6598806035999996,0.708555,0.2857113148551302,-0.3472,1.0,0.7,1000
