Parameter,Mean,Median,Std,Min,Max,Real Value
Parameter 1,0.49733979999999983,0.48572499999999996,0.12746848270203892,0.20588,0.94773,0.5
Parameter 2,0.31275277184243966,0.32091000000000003,0.15982694509603126,1.6122e-07,0.64858,0.3
Parameter 3,0.19176580441322796,0.18423499999999998,0.13523227876265168,1.6464e-08,0.57232,0.2
Parameter 4,0.09671790520000008,0.096714,0.03147967705403174,0.0018896,0.19567,0.1
Parameter 5,0.19924964000000023,0.201065,0.030996985948159528,0.11079,0.29111,0.2
Parameter 6,0.2843306058000001,0.28737,0.1112025326499527,0.0056916,0.71696,0.3
Parameter 7,0.13729622459342866,0.10801,0.12762418454761656,8.1343e-09,0.53766,0.1
Parameter 8,0.26801245560000014,0.28894,0.1170101547384032,0.0027714,0.49676,0.3
Parameter 9,0.3035915,0.303045,0.030919790509477903,0.19756,0.39553,0.3
Parameter 10,0.19754268000000016,0.198455,0.03175795079688864,0.10582,0.28973,0.2
Parameter 11,0.3568380383800001,0.3653,0.40488842444871703,-0.99108,0.99997,0.4
